"indice_tiempo","provincia_de_destino","pais_de_residencia","destinos_visitados","turistas_no_residentes","pernoctes_no_residentes_en_provincia","pernoctes_no_residentes_en_pais","casos_muestrales","observaciones"
2022-02-01,"Caba","Brasil","Solo provincia",5392,63338,63338,165,NA
2022-02-01,"Caba","Brasil","Solo resto",1523,0,34378,46,NA
2022-02-01,"Caba","Chile","Provincia y resto",914,4431,17637,28,NA
2022-02-01,"Caba","Chile","Solo provincia",6538,64661,64661,201,NA
2022-02-01,"Caba","Chile","Solo resto",1202,0,23196,37,NA
2022-02-01,"Caba","EE.UU y Canadá","Provincia y resto",3673,39624,85250,39,NA
2022-02-01,"Caba","EE.UU y Canadá","Solo provincia",4132,65121,65121,42,NA
2022-02-01,"Caba","EE.UU y Canadá","Solo resto",7297,0,163255,72,NA
2022-02-01,"Caba","Europa","Provincia y resto",5278,84400,210006,48,NA
2022-02-01,"Caba","Europa","Solo provincia",7212,200905,200905,66,NA
2022-02-01,"Caba","Europa","Solo resto",16275,0,616415,149,NA
2022-02-01,"Caba","Paraguay","Provincia y resto",271,2141,8520,3,NA
2022-02-01,"Caba","Paraguay","Solo provincia",437,15753,15753,5,NA
2022-02-01,"Caba","Paraguay","Solo resto",362,0,3716,5,NA
2022-02-01,"Caba","Resto América","Provincia y resto",1963,28539,85815,38,NA
2022-02-01,"Caba","Resto América","Solo provincia",5942,150182,150182,121,NA
2022-02-01,"Caba","Resto América","Solo resto",2842,0,130147,53,NA
2022-02-01,"Caba","Resto del Mundo","Provincia y resto",552,9384,27048,3,NA
2022-02-01,"Caba","Resto del Mundo","Solo provincia",552,7360,7360,3,NA
2022-02-01,"Caba","Resto del Mundo","Solo resto",1103,0,29799,6,NA
2022-02-01,"Caba","Uruguay","Provincia y resto",81,129,1170,5,NA
2022-02-01,"Caba","Uruguay","Solo provincia",211,2188,2188,11,NA
2022-02-01,"Caba","Uruguay","Solo resto",135,0,1033,9,NA
2022-02-01,"Catamarca","Bolivia","Provincia y resto",0,0,0,0,NA
2022-02-01,"Catamarca","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Catamarca","Bolivia","Solo resto",1893,0,36779,77,NA
2022-02-01,"Catamarca","Brasil","Provincia y resto",0,0,0,0,NA
2022-02-01,"Catamarca","Brasil","Solo provincia",0,0,0,0,NA
2022-02-01,"Catamarca","Brasil","Solo resto",8087,0,114526,247,NA
2022-02-01,"Catamarca","Chile","Provincia y resto",0,0,0,0,NA
2022-02-01,"Catamarca","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"Catamarca","Chile","Solo resto",8654,0,105494,266,NA
2022-02-01,"Catamarca","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-02-01,"Catamarca","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-02-01,"Catamarca","EE.UU y Canadá","Solo resto",15102,0,313626,153,NA
2022-02-01,"Catamarca","Europa","Provincia y resto",0,0,0,0,NA
2022-02-01,"Catamarca","Europa","Solo provincia",0,0,0,0,NA
2022-02-01,"Catamarca","Europa","Solo resto",28765,0,1027326,263,NA
2022-02-01,"Catamarca","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Catamarca","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Catamarca","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"Catamarca","Resto América","Provincia y resto",0,0,0,0,NA
2022-02-01,"Catamarca","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"Catamarca","Resto América","Solo resto",10747,0,366144,212,NA
2022-02-01,"Catamarca","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"Catamarca","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-02-01,"Catamarca","Resto del Mundo","Solo resto",2207,0,64207,12,NA
2022-02-01,"Catamarca","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Catamarca","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Catamarca","Uruguay","Solo resto",427,0,4391,25,NA
2022-02-01,"Chaco","Bolivia","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chaco","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Chaco","Bolivia","Solo resto",1893,0,36779,77,NA
2022-02-01,"Chaco","Brasil","Provincia y resto",33,462,1650,1,NA
2022-02-01,"Chaco","Brasil","Solo provincia",0,0,0,0,NA
2022-02-01,"Chaco","Brasil","Solo resto",8054,0,112876,246,NA
2022-02-01,"Chaco","Chile","Provincia y resto",128,8320,8640,4,NA
2022-02-01,"Chaco","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"Chaco","Chile","Solo resto",8526,0,96854,262,NA
2022-02-01,"Chaco","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chaco","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-02-01,"Chaco","EE.UU y Canadá","Solo resto",15102,0,313626,153,NA
2022-02-01,"Chaco","Europa","Provincia y resto",204,1734,2856,2,NA
2022-02-01,"Chaco","Europa","Solo provincia",0,0,0,0,NA
2022-02-01,"Chaco","Europa","Solo resto",28561,0,1024470,261,NA
2022-02-01,"Chaco","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chaco","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Chaco","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"Chaco","Resto América","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chaco","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"Chaco","Resto América","Solo resto",10747,0,366144,212,NA
2022-02-01,"Chaco","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chaco","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-02-01,"Chaco","Resto del Mundo","Solo resto",2207,0,64207,12,NA
2022-02-01,"Chaco","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chaco","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Chaco","Uruguay","Solo resto",427,0,4391,25,NA
2022-02-01,"Chubut","Bolivia","Provincia y resto",42,210,630,2,NA
2022-02-01,"Chubut","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Chubut","Bolivia","Solo resto",1851,0,36149,75,NA
2022-02-01,"Chubut","Brasil","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chubut","Brasil","Solo provincia",0,0,0,0,NA
2022-02-01,"Chubut","Brasil","Solo resto",8087,0,114526,247,NA
2022-02-01,"Chubut","Chile","Provincia y resto",66,528,792,2,NA
2022-02-01,"Chubut","Chile","Solo provincia",66,1782,1782,2,NA
2022-02-01,"Chubut","Chile","Solo resto",8522,0,102920,262,NA
2022-02-01,"Chubut","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chubut","EE.UU y Canadá","Solo provincia",90,630,630,1,NA
2022-02-01,"Chubut","EE.UU y Canadá","Solo resto",15012,0,312996,152,NA
2022-02-01,"Chubut","Europa","Provincia y resto",1123,4745,17342,10,NA
2022-02-01,"Chubut","Europa","Solo provincia",0,0,0,0,NA
2022-02-01,"Chubut","Europa","Solo resto",27642,0,1009984,253,NA
2022-02-01,"Chubut","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chubut","Paraguay","Solo provincia",164,2132,2132,2,NA
2022-02-01,"Chubut","Paraguay","Solo resto",906,0,25857,11,NA
2022-02-01,"Chubut","Resto América","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chubut","Resto América","Solo provincia",122,9150,9150,2,NA
2022-02-01,"Chubut","Resto América","Solo resto",10625,0,356994,210,NA
2022-02-01,"Chubut","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"Chubut","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-02-01,"Chubut","Resto del Mundo","Solo resto",2207,0,64207,12,NA
2022-02-01,"Chubut","Uruguay","Provincia y resto",32,64,320,4,NA
2022-02-01,"Chubut","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Chubut","Uruguay","Solo resto",395,0,4071,21,NA
2022-02-01,"Cordoba","Bolivia","Provincia y resto",60,150,420,2,NA
2022-02-01,"Cordoba","Bolivia","Solo provincia",30,1800,1800,1,NA
2022-02-01,"Cordoba","Bolivia","Solo resto",1803,0,34559,74,NA
2022-02-01,"Cordoba","Brasil","Provincia y resto",133,662,994,4,NA
2022-02-01,"Cordoba","Brasil","Solo provincia",231,5653,5653,7,NA
2022-02-01,"Cordoba","Brasil","Solo resto",7723,0,107879,236,NA
2022-02-01,"Cordoba","Chile","Provincia y resto",32,224,2880,1,NA
2022-02-01,"Cordoba","Chile","Solo provincia",33,297,297,1,NA
2022-02-01,"Cordoba","Chile","Solo resto",8589,0,102317,264,NA
2022-02-01,"Cordoba","EE.UU y Canadá","Provincia y resto",683,6963,23957,7,NA
2022-02-01,"Cordoba","EE.UU y Canadá","Solo provincia",270,15840,15840,3,NA
2022-02-01,"Cordoba","EE.UU y Canadá","Solo resto",14149,0,273829,143,NA
2022-02-01,"Cordoba","Europa","Provincia y resto",2368,57226,108434,20,NA
2022-02-01,"Cordoba","Europa","Solo provincia",1015,41529,41529,10,NA
2022-02-01,"Cordoba","Europa","Solo resto",25382,0,877363,233,NA
2022-02-01,"Cordoba","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Cordoba","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Cordoba","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"Cordoba","Resto América","Provincia y resto",540,3958,19919,12,NA
2022-02-01,"Cordoba","Resto América","Solo provincia",304,11942,11942,5,NA
2022-02-01,"Cordoba","Resto América","Solo resto",9903,0,334283,195,NA
2022-02-01,"Cordoba","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"Cordoba","Resto del Mundo","Solo provincia",184,11040,11040,1,NA
2022-02-01,"Cordoba","Resto del Mundo","Solo resto",2023,0,53167,11,NA
2022-02-01,"Cordoba","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Cordoba","Uruguay","Solo provincia",23,345,345,1,NA
2022-02-01,"Cordoba","Uruguay","Solo resto",404,0,4046,24,NA
2022-02-01,"Corrientes","Bolivia","Provincia y resto",0,0,0,0,NA
2022-02-01,"Corrientes","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Corrientes","Bolivia","Solo resto",1893,0,36779,77,NA
2022-02-01,"Corrientes","Brasil","Provincia y resto",33,132,1650,1,NA
2022-02-01,"Corrientes","Brasil","Solo provincia",33,132,132,1,NA
2022-02-01,"Corrientes","Brasil","Solo resto",8021,0,112744,245,NA
2022-02-01,"Corrientes","Chile","Provincia y resto",0,0,0,0,NA
2022-02-01,"Corrientes","Chile","Solo provincia",64,320,320,2,NA
2022-02-01,"Corrientes","Chile","Solo resto",8590,0,105174,264,NA
2022-02-01,"Corrientes","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-02-01,"Corrientes","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-02-01,"Corrientes","EE.UU y Canadá","Solo resto",15102,0,313626,153,NA
2022-02-01,"Corrientes","Europa","Provincia y resto",357,4291,9942,3,NA
2022-02-01,"Corrientes","Europa","Solo provincia",101,4545,4545,1,NA
2022-02-01,"Corrientes","Europa","Solo resto",28307,0,1012839,259,NA
2022-02-01,"Corrientes","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Corrientes","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Corrientes","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"Corrientes","Resto América","Provincia y resto",61,1525,1830,1,NA
2022-02-01,"Corrientes","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"Corrientes","Resto América","Solo resto",10686,0,364314,211,NA
2022-02-01,"Corrientes","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"Corrientes","Resto del Mundo","Solo provincia",184,3864,3864,1,NA
2022-02-01,"Corrientes","Resto del Mundo","Solo resto",2023,0,60343,11,NA
2022-02-01,"Corrientes","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Corrientes","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Corrientes","Uruguay","Solo resto",427,0,4391,25,NA
2022-02-01,"Entre Rios","Bolivia","Provincia y resto",30,60,150,1,NA
2022-02-01,"Entre Rios","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Entre Rios","Bolivia","Solo resto",1863,0,36629,76,NA
2022-02-01,"Entre Rios","Brasil","Provincia y resto",0,0,0,0,NA
2022-02-01,"Entre Rios","Brasil","Solo provincia",0,0,0,0,NA
2022-02-01,"Entre Rios","Brasil","Solo resto",8087,0,114526,247,NA
2022-02-01,"Entre Rios","Chile","Provincia y resto",65,452,709,2,NA
2022-02-01,"Entre Rios","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"Entre Rios","Chile","Solo resto",8589,0,104785,264,NA
2022-02-01,"Entre Rios","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-02-01,"Entre Rios","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-02-01,"Entre Rios","EE.UU y Canadá","Solo resto",15102,0,313626,153,NA
2022-02-01,"Entre Rios","Europa","Provincia y resto",818,9032,21960,7,NA
2022-02-01,"Entre Rios","Europa","Solo provincia",102,2142,2142,1,NA
2022-02-01,"Entre Rios","Europa","Solo resto",27845,0,1003224,255,NA
2022-02-01,"Entre Rios","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Entre Rios","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Entre Rios","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"Entre Rios","Resto América","Provincia y resto",183,4758,7686,3,NA
2022-02-01,"Entre Rios","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"Entre Rios","Resto América","Solo resto",10564,0,358458,209,NA
2022-02-01,"Entre Rios","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"Entre Rios","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-02-01,"Entre Rios","Resto del Mundo","Solo resto",2207,0,64207,12,NA
2022-02-01,"Entre Rios","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Entre Rios","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Entre Rios","Uruguay","Solo resto",427,0,4391,25,NA
2022-02-01,"Formosa","Bolivia","Provincia y resto",0,0,0,0,NA
2022-02-01,"Formosa","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Formosa","Bolivia","Solo resto",1893,0,36779,77,NA
2022-02-01,"Formosa","Brasil","Provincia y resto",33,165,1650,1,NA
2022-02-01,"Formosa","Brasil","Solo provincia",0,0,0,0,NA
2022-02-01,"Formosa","Brasil","Solo resto",8054,0,112876,246,NA
2022-02-01,"Formosa","Chile","Provincia y resto",0,0,0,0,NA
2022-02-01,"Formosa","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"Formosa","Chile","Solo resto",8654,0,105494,266,NA
2022-02-01,"Formosa","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-02-01,"Formosa","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-02-01,"Formosa","EE.UU y Canadá","Solo resto",15102,0,313626,153,NA
2022-02-01,"Formosa","Europa","Provincia y resto",102,1224,3060,1,NA
2022-02-01,"Formosa","Europa","Solo provincia",0,0,0,0,NA
2022-02-01,"Formosa","Europa","Solo resto",28663,0,1024266,262,NA
2022-02-01,"Formosa","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Formosa","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Formosa","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"Formosa","Resto América","Provincia y resto",0,0,0,0,NA
2022-02-01,"Formosa","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"Formosa","Resto América","Solo resto",10747,0,366144,212,NA
2022-02-01,"Formosa","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"Formosa","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-02-01,"Formosa","Resto del Mundo","Solo resto",2207,0,64207,12,NA
2022-02-01,"Formosa","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Formosa","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Formosa","Uruguay","Solo resto",427,0,4391,25,NA
2022-02-01,"Jujuy","Bolivia","Provincia y resto",0,0,0,0,NA
2022-02-01,"Jujuy","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Jujuy","Bolivia","Solo resto",1893,0,36779,77,NA
2022-02-01,"Jujuy","Brasil","Provincia y resto",0,0,0,0,NA
2022-02-01,"Jujuy","Brasil","Solo provincia",0,0,0,0,NA
2022-02-01,"Jujuy","Brasil","Solo resto",8087,0,114526,247,NA
2022-02-01,"Jujuy","Chile","Provincia y resto",0,0,0,0,NA
2022-02-01,"Jujuy","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"Jujuy","Chile","Solo resto",8654,0,105494,266,NA
2022-02-01,"Jujuy","EE.UU y Canadá","Provincia y resto",90,450,4950,1,NA
2022-02-01,"Jujuy","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-02-01,"Jujuy","EE.UU y Canadá","Solo resto",15012,0,308676,152,NA
2022-02-01,"Jujuy","Europa","Provincia y resto",561,3829,25337,5,NA
2022-02-01,"Jujuy","Europa","Solo provincia",101,3535,3535,1,NA
2022-02-01,"Jujuy","Europa","Solo resto",28103,0,998454,257,NA
2022-02-01,"Jujuy","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Jujuy","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Jujuy","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"Jujuy","Resto América","Provincia y resto",61,305,1830,1,NA
2022-02-01,"Jujuy","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"Jujuy","Resto América","Solo resto",10686,0,364314,211,NA
2022-02-01,"Jujuy","Resto del Mundo","Provincia y resto",184,1840,8280,1,NA
2022-02-01,"Jujuy","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-02-01,"Jujuy","Resto del Mundo","Solo resto",2023,0,55927,11,NA
2022-02-01,"Jujuy","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Jujuy","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Jujuy","Uruguay","Solo resto",427,0,4391,25,NA
2022-02-01,"La Pampa","Bolivia","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Pampa","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"La Pampa","Bolivia","Solo resto",1893,0,36779,77,NA
2022-02-01,"La Pampa","Brasil","Provincia y resto",33,429,891,1,NA
2022-02-01,"La Pampa","Brasil","Solo provincia",0,0,0,0,NA
2022-02-01,"La Pampa","Brasil","Solo resto",8054,0,113635,246,NA
2022-02-01,"La Pampa","Chile","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Pampa","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"La Pampa","Chile","Solo resto",8654,0,105494,266,NA
2022-02-01,"La Pampa","EE.UU y Canadá","Provincia y resto",206,6180,12360,2,NA
2022-02-01,"La Pampa","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-02-01,"La Pampa","EE.UU y Canadá","Solo resto",14896,0,301266,151,NA
2022-02-01,"La Pampa","Europa","Provincia y resto",102,6120,7548,1,NA
2022-02-01,"La Pampa","Europa","Solo provincia",101,3636,3636,1,NA
2022-02-01,"La Pampa","Europa","Solo resto",28562,0,1016142,261,NA
2022-02-01,"La Pampa","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Pampa","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"La Pampa","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"La Pampa","Resto América","Provincia y resto",61,1525,1830,1,NA
2022-02-01,"La Pampa","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"La Pampa","Resto América","Solo resto",10686,0,364314,211,NA
2022-02-01,"La Pampa","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Pampa","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-02-01,"La Pampa","Resto del Mundo","Solo resto",2207,0,64207,12,NA
2022-02-01,"La Pampa","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Pampa","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"La Pampa","Uruguay","Solo resto",427,0,4391,25,NA
2022-02-01,"La Rioja","Bolivia","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Rioja","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"La Rioja","Bolivia","Solo resto",1893,0,36779,77,NA
2022-02-01,"La Rioja","Brasil","Provincia y resto",33,99,396,1,NA
2022-02-01,"La Rioja","Brasil","Solo provincia",0,0,0,0,NA
2022-02-01,"La Rioja","Brasil","Solo resto",8054,0,114130,246,NA
2022-02-01,"La Rioja","Chile","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Rioja","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"La Rioja","Chile","Solo resto",8654,0,105494,266,NA
2022-02-01,"La Rioja","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Rioja","EE.UU y Canadá","Solo provincia",90,8100,8100,1,NA
2022-02-01,"La Rioja","EE.UU y Canadá","Solo resto",15012,0,305526,152,NA
2022-02-01,"La Rioja","Europa","Provincia y resto",102,6120,6222,1,NA
2022-02-01,"La Rioja","Europa","Solo provincia",0,0,0,0,NA
2022-02-01,"La Rioja","Europa","Solo resto",28663,0,1021104,262,NA
2022-02-01,"La Rioja","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Rioja","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"La Rioja","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"La Rioja","Resto América","Provincia y resto",166,576,2761,4,NA
2022-02-01,"La Rioja","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"La Rioja","Resto América","Solo resto",10581,0,363383,208,NA
2022-02-01,"La Rioja","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Rioja","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-02-01,"La Rioja","Resto del Mundo","Solo resto",2207,0,64207,12,NA
2022-02-01,"La Rioja","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"La Rioja","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"La Rioja","Uruguay","Solo resto",427,0,4391,25,NA
2022-02-01,"Mendoza","Bolivia","Provincia y resto",30,90,150,1,NA
2022-02-01,"Mendoza","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Mendoza","Bolivia","Solo resto",1863,0,36629,76,NA
2022-02-01,"Mendoza","Brasil","Provincia y resto",133,698,1693,4,NA
2022-02-01,"Mendoza","Brasil","Solo provincia",34,340,340,1,NA
2022-02-01,"Mendoza","Brasil","Solo resto",7920,0,112493,242,NA
2022-02-01,"Mendoza","Chile","Provincia y resto",32,192,288,1,NA
2022-02-01,"Mendoza","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"Mendoza","Chile","Solo resto",8622,0,105206,265,NA
2022-02-01,"Mendoza","EE.UU y Canadá","Provincia y resto",270,1890,7290,3,NA
2022-02-01,"Mendoza","EE.UU y Canadá","Solo provincia",1007,14704,14704,10,NA
2022-02-01,"Mendoza","EE.UU y Canadá","Solo resto",13825,0,291632,140,NA
2022-02-01,"Mendoza","Europa","Provincia y resto",1426,35118,69598,13,NA
2022-02-01,"Mendoza","Europa","Solo provincia",919,34625,34625,8,NA
2022-02-01,"Mendoza","Europa","Solo resto",26420,0,923103,242,NA
2022-02-01,"Mendoza","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Mendoza","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Mendoza","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"Mendoza","Resto América","Provincia y resto",363,1365,16784,7,NA
2022-02-01,"Mendoza","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"Mendoza","Resto América","Solo resto",10384,0,349360,205,NA
2022-02-01,"Mendoza","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"Mendoza","Resto del Mundo","Solo provincia",184,8280,8280,1,NA
2022-02-01,"Mendoza","Resto del Mundo","Solo resto",2023,0,55927,11,NA
2022-02-01,"Mendoza","Uruguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Mendoza","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Mendoza","Uruguay","Solo resto",427,0,4391,25,NA
2022-02-01,"Misiones","Bolivia","Provincia y resto",42,84,420,2,NA
2022-02-01,"Misiones","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Misiones","Bolivia","Solo resto",1851,0,36359,75,NA
2022-02-01,"Misiones","Brasil","Provincia y resto",0,0,0,0,NA
2022-02-01,"Misiones","Brasil","Solo provincia",0,0,0,0,NA
2022-02-01,"Misiones","Brasil","Solo resto",8087,0,114526,247,NA
2022-02-01,"Misiones","Chile","Provincia y resto",132,330,1386,4,NA
2022-02-01,"Misiones","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"Misiones","Chile","Solo resto",8522,0,104108,262,NA
2022-02-01,"Misiones","EE.UU y Canadá","Provincia y resto",1133,7680,29902,12,NA
2022-02-01,"Misiones","EE.UU y Canadá","Solo provincia",90,1080,1080,1,NA
2022-02-01,"Misiones","EE.UU y Canadá","Solo resto",13879,0,282644,140,NA
2022-02-01,"Misiones","Europa","Provincia y resto",969,8671,41963,9,NA
2022-02-01,"Misiones","Europa","Solo provincia",0,0,0,0,NA
2022-02-01,"Misiones","Europa","Solo resto",27796,0,985363,254,NA
2022-02-01,"Misiones","Paraguay","Provincia y resto",0,0,0,0,NA
2022-02-01,"Misiones","Paraguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Misiones","Paraguay","Solo resto",1070,0,27989,13,NA
2022-02-01,"Misiones","Resto América","Provincia y resto",92,184,1380,2,NA
2022-02-01,"Misiones","Resto América","Solo provincia",0,0,0,0,NA
2022-02-01,"Misiones","Resto América","Solo resto",10655,0,364764,210,NA
2022-02-01,"Misiones","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-02-01,"Misiones","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-02-01,"Misiones","Resto del Mundo","Solo resto",2207,0,64207,12,NA
2022-02-01,"Misiones","Uruguay","Provincia y resto",24,408,480,1,NA
2022-02-01,"Misiones","Uruguay","Solo provincia",0,0,0,0,NA
2022-02-01,"Misiones","Uruguay","Solo resto",403,0,3911,24,NA
2022-02-01,"Neuquen","Bolivia","Provincia y resto",0,0,0,0,NA
2022-02-01,"Neuquen","Bolivia","Solo provincia",0,0,0,0,NA
2022-02-01,"Neuquen","Bolivia","Solo resto",1893,0,36779,77,NA
2022-02-01,"Neuquen","Brasil","Provincia y resto",34,102,136,1,NA
2022-02-01,"Neuquen","Brasil","Solo provincia",67,664,664,2,NA
2022-02-01,"Neuquen","Brasil","Solo resto",7986,0,113726,244,NA
2022-02-01,"Neuquen","Chile","Provincia y resto",0,0,0,0,NA
2022-02-01,"Neuquen","Chile","Solo provincia",0,0,0,0,NA
2022-02-01,"Neuquen","Chile","Solo resto",8654,0,105494,266,NA
2022-02-01,"Neuquen","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
