"indice_tiempo","provincia_de_destino","pais_de_residencia","destinos_visitados","turistas_no_residentes","pernoctes_no_residentes_en_provincia","pernoctes_no_residentes_en_pais","casos_muestrales","observaciones"
2022-01-01,"Catamarca","Europa","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Europa","Solo resto",38849,0,982875,297,NA
2022-01-01,"Catamarca","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Catamarca","Resto América","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Resto América","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Resto América","Solo resto",16193,0,377965,175,NA
2022-01-01,"Catamarca","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"Catamarca","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Catamarca","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Catamarca","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"Chaco","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"Chaco","Bolivia","Solo resto",3297,0,61428,58,NA
2022-01-01,"Chaco","Brasil","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"Chaco","Brasil","Solo resto",15613,0,213639,146,NA
2022-01-01,"Chaco","Chile","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","Chile","Solo provincia",0,0,0,0,NA
2022-01-01,"Chaco","Chile","Solo resto",8919,0,127755,107,NA
2022-01-01,"Chaco","EE.UU y Canadá","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","EE.UU y Canadá","Solo provincia",0,0,0,0,NA
2022-01-01,"Chaco","EE.UU y Canadá","Solo resto",26613,0,567088,177,NA
2022-01-01,"Chaco","Europa","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","Europa","Solo provincia",0,0,0,0,NA
2022-01-01,"Chaco","Europa","Solo resto",38849,0,982875,297,NA
2022-01-01,"Chaco","Paraguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","Paraguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Chaco","Paraguay","Solo resto",1311,0,5765,9,NA
2022-01-01,"Chaco","Resto América","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","Resto América","Solo provincia",0,0,0,0,NA
2022-01-01,"Chaco","Resto América","Solo resto",16193,0,377965,175,NA
2022-01-01,"Chaco","Resto del Mundo","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","Resto del Mundo","Solo provincia",0,0,0,0,NA
2022-01-01,"Chaco","Resto del Mundo","Solo resto",2486,0,44911,10,NA
2022-01-01,"Chaco","Uruguay","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chaco","Uruguay","Solo provincia",0,0,0,0,NA
2022-01-01,"Chaco","Uruguay","Solo resto",462,0,7713,8,NA
2022-01-01,"Chubut","Bolivia","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chubut","Bolivia","Solo provincia",0,0,0,0,NA
2022-01-01,"Chubut","Bolivia","Solo resto",3297,0,61428,58,NA
2022-01-01,"Chubut","Brasil","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chubut","Brasil","Solo provincia",0,0,0,0,NA
2022-01-01,"Chubut","Brasil","Solo resto",15613,0,213639,146,NA
2022-01-01,"Chubut","Chile","Provincia y resto",0,0,0,0,NA
2022-01-01,"Chubut","Chile","Solo provincia",0,0,0,0,NA
2022-01-01,"Chubut","Chile","Solo resto",8919,0,127755,107,NA
2022-01-01,"Chubut","EE.UU y Canadá","Provincia y resto",856,2568,9416,4,NA
2022-01-01,"Chubut","EE.UU y Canadá","Solo provincia",123,3075,3075,1,NA
2022-01-01,"Chubut","EE.UU y Canadá","Solo resto",25634,0,554597,172,NA
2022-01-01,"Chubut","Europa","Provincia y resto",476,10092,14280,4,NA
2022-01-01,"Chubut","Europa","Solo provincia",262,6550,6550,2,NA
